Encuesta,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39
91,2,3,4,2,2.5,1,3,,,1,2,2,3,1,15,3,Edad,4,,,253,Holando,2,7000,300,3.2,3.1,2,3,2,32,26,85,15,3,5,8,58,7
92,3,2,2,1,2,1,3,1,2,1,2,1,2,1,15,4,Edad,3,,,145,Holando,2,7000,300,3.3,2.9,2,2,1,80,26,120,13,1,10,10,60,10
95,1,3,4,1,2,1,3,3,4,1,3,3,1,1,2,4,Edad,4,,,28,Holando,2,5500,600,3.4,3.5,3,2,2,60,29,92,12.5,3,5,6,75,1.5
96,2,3,4,1,2,1,1,,,1,3,1,2,3,7,3,Peso,,2,,550,Holando,2,6800,340,3.73,3.4,3,2,3,36,29,121,14.6,3,5,25,80,7
97,1,3,4,1,2,1,3,3,3,1,2,2,2,5,2,3,Consumo de materia seca,,,4,65,Holando,2,5600,320,3.8,3.35,2,2,2,58,29,107,14.5,2,1,3,50,4
99,2,2,4,2,2.5,2,3,2,4,1,2,4,3,1,2,5,Edad,3,,,1600,Holando,2,5600,350,3,3,2,3,3,,24,120,20,3,4,,60,13
101,3,2,4,1,2,1,3,3,5,1,2,2,1,1,15,4,Peso,1,,,102,Holando,2,6100,360,3.46,3.52,2,2,1,50,28,210,15,3,,5,40,2
1,3,3,4,3,2.5,,3,2,5,2,3,2,3,1,2,7,Consumo de materia seca,4,4,4,200,Holando,3,8540,250,3.6,3.2,2,3,3,35,26,74,13.5,3,2,10,65,7
4,3,3,4,1,2.5,2,3,1,4,2,2,1,3,1,7,7,Edad,4,4,,,,,,,,,,,,,,,,,,,,
7,2,2,4,2,2,1,3,1,2,2,2,1,1,2,7,3,Edad,2,,4,650,Holando,2,5490,370,3.5,3.2,2,3,3,49,26,120,15,3,2,10,50,1.5
8,3,3,1,3,1,2,3,2,3,2,2,1,3,1,7,6,Edad,3,,,430,Holando,2,9000,290,3.6,3.55,2,3,3,70,25,,,3,,,60,
9,3,3,4,1,2.5,1,3,3,5,2,3,2,3,3,2,2,Peso,,3,,150,Holando,2,10370,130,3.6,3.4,2,3,3,,23.5,,13,2,2,3,6,2
10,3,3,4,1,2,2,3,2,3,2,3,2,3,1,2,3,Consumo de materia seca,4,,4,45,Holando,2,7590,.,3.47,3.25,3,2,3,30,27,90,13,2,5,1,80,3
13,2,3,4,1,2,1,3,2,4,2,3,2,3,1,2,6,Edad,3,,,700,Holando,2,7500,140,3.45,3.65,2,1,2,80,36,100,13,2,,6,60,2
17,1,3,4,2,2,2,3,1,2,2,2,1,2,4,2,7,Edad,4,,,,,,,,,,,,,,,,,,,,,
18,1,3,4,1,1,1,3,3,5,2,3,1,3,5,2,2,Edad,4,4,,25,Holando,2,8500,80,3.6,3.5,3,1,3,,30,90,14,2,0,2,90,2
19,3,3,4,1,2.5,2,3,2,3,2,2,2,3,1,7,2,Consumo de materia seca,3,,,,,,,,,,,,,,,,,,,,,
22,2,2,4,1,2,1,3,2,4,2,2,2,2,3,2,4,Peso,,3,,124,Holando,2,7890,328,3.82,3.27,1,3,1,,25,,13,1,2,1.2,57,1.3
23,2,2,4,2,2,1,3,1,4,2,3,1,2,1,7,3,Consumo de materia seca,,,4,1500,Holando,2,8540,250,3.4,3.24,2,3,1,36,25,128,13.5,1,1,5,63,7.5
25,3,2,2,1,1,2,3,2,4,2,2,2,2,4,7,7,Edad,4,,,800,Holando,3,7625,350,3.2,3.2,2,3,2,,24,,,3,,,60,
27,3,3,4,3,2.5,2,3,2,5,2,3,2,3,3,2,6,Peso,,4,4,,,,,,,,,,,,,,,,,,,
32,3,3,3,1,2,2,3,2,5,2,3,2,3,4,7,2,Peso,4,4,,130,Holando,2,9760,300,3.6,3.25,3,2,3,35,29,90,15,2,5,15,90,4
33,3,2,4,2,2,2,3,2,5,2,3,2,1,4,2,5,Consumo de materia seca,,,4,400,Holando,2,8235,300,3.45,3.3,2,3,3,90,24.5,145,13,2,10,4.5,55,4.2
35,3,2,4,3,2,2,3,1,4,2,3,2,2,2,7,5,Edad,3,,,820,Holando,3,8235,250,3.6,3.3,2,2,1,60,29,145,14,2,13.9,30,77,9
36,3,2,2,1,2.5,2,3,1,2,2,2,2,3,1,15,2,Edad,4,,,1825,Holando,,8500,250,3.5,3.25,2,4,3,35,25,70,14,3,35,5,75,7
37,2,2,2,1,2,1,3,1,3,2,2,1,2,5,15,2,Peso,,1,,154,Holando,2,7625,,,,3,3,3,54,28,60,13,1,10,10,60,8
41,2,3,1,1,2.5,2,3,1,4,2,2,1,3,,25,7,Peso,,2,,,,,,,,,,,,,,,,,,,,
43,3,3,4,2,2,2,3,2,5,2,3,2,2,4,7,4,Edad,4,,,,,,,,,,,,,,,,,,,,,
45,2,3,4,2,2,2,3,2,5,2,3,1,3,1,7,6,Consumo de materia seca,3,2,4,2700,Holando,2,8000,400,3,3.2,2,3,3,34,27,153,14,3,6,4,65,8
47,3,3,4,1,2,1,3,2,4,2,2,2,2,4,7,3,Peso,,3,,,,,,,,,,,,,,,,,,,,
48,2,3,3,1,2,2,3,2,2,2,2,2,2,2,7,4,Consumo de materia seca,,,4,150,Holando,2,7320,300,3.7,3.3,3,2,3,,30,90,13,2,3,2,60,2
49,2,1,4,1,1,2,3,2,5,2,3,2,2,5,2,2,Consumo de materia seca,3,2,4,230,Holando,3,9100,350,3.1,3.2,2,3,3,40,25,130,14,2,5,,60,8
55,2,2,2,1,2,2,3,2,4,2,2,2,3,5,7,2,Consumo de materia seca,2,,3,220,Holando,2,8200,230,3.4,3.3,2,2,1,45,26,45,14,3,3,12,50,8
56,3,3,4,3,2.5,2,3,1,4,2,2,1,3,3,2,7,Edad,4,3,,1250,Holando,3,10200,280,3.4,3.35,2,3,3,36,25,70,14,3,29,10,60,6.5
59,3,3,4,3,2.5,2,3,1,4,2,3,1,3,1,2,6,,4,3,4,61,Holando,3,8500,260,3.9,3.4,2,3,2,70,25,55,13,3,1,7,55,9
