vacination,prepartum,experience,capacitations,rearing_system,realiza_calostrado,calostrum_feeding_num,clostrum_feeding_vol,liquid_feeding_volume,hygiene,disease_ranking,mortality,feed_cows,milk_yield,scc,afb,ffi
3,2,2,2,2.5,2,1,4,3,3,1,2,2,7000,280,2,33
2,2,4,2,2,2,1,4,1,3,1,2,3,8845,280,3,
3,3,3,2,2,1,1,4,2,2,1,7,2,7015,357,2,68
2,3,1,1,2.5,2,1,4,3,2,1,2,2,6100,320,2,45
3,3,4,2,2,2,2,4,2,2,1,2,3,9850,390,3,40
3,3,2,2,2,2,1,4,2,3,1,7,2,,,1,
3,3,4,2,1,2,1,4,2,3,1,2,3,8056,300,3,60
2,1,4,1,2,2,2,5,3,1,2,2,,,,,
2,2,4,1,2,2,2,5,3,1,3,2,2,7930,300,2,30
3,2,2,3,2,2,1,3,2,3,4,7,3,5000,250,3,30
2,2,4,3,2,1,2,2,2,1,1,7,2,7625,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
